split,fraction,train_rows,macro_f1,accuracy
clean,0.1,989,0.859,0.8986
clean,0.25,2473,0.9389,0.9524
clean,0.5,4946,0.9684,0.9745
clean,1.0,9893,0.9787,0.9835
naive,0.1,1719,0.959,0.962
naive,0.25,4297,0.9795,0.9807
naive,0.5,8594,0.9859,0.9864
naive,1.0,17187,0.9881,0.9886
