threshold,rows_kept,train_rows,train_rows_per_intent,test>=0.95_pct,test>=0.90_pct,median_max_sim
0.8,4582,3207,119,0.0,0.15,0.655
0.85,8608,6025,223,0.0,0.46,0.74
0.9,14133,9893,366,0.05,0.24,0.809
0.95,19879,13915,515,0.0,30.32,0.865
