flag,n_rows,accuracy,accuracy_without,delta
Z,618,0.9547,0.9953,-0.0406
P,151,0.9669,0.9848,-0.0179
Q,732,0.974,0.9885,-0.0145
K,150,0.9733,0.9843,-0.011
E,163,0.9755,0.9842,-0.0087
N,41,0.9756,0.9836,-0.008
C,292,0.9863,0.983,0.0033
M,436,0.9885,0.9822,0.0063
I,695,0.9899,0.9804,0.0095
W,169,1.0,0.9821,0.0179
L,1948,0.9872,0.9419,0.0453
B,2120,0.9835,,
