threshold,n_groups,retained_pct,mean_family_size,train_rows,train_rows_per_intent,val>=0.95_pct,val>=0.90_pct,median_max_sim
0.8,4582,18.7,5.36,3207,119,0.0,0.15,0.661
0.85,8608,35.1,2.85,6025,223,0.08,0.23,0.738
0.9,14133,57.6,1.74,9893,366,0.0,0.09,0.808
0.91,15423,62.8,1.59,10796,400,0.04,5.14,0.826
0.92,16635,67.7,1.48,11644,431,0.0,10.38,0.832
0.95,19879,81.0,1.24,13915,515,0.03,27.67,0.861
